"id","created","modified","name1","name2","keywords","lat","lon"
762,"2010-05-11 18:05:15.0","2018-08-28 11:34:02.0","Management Library","Management Library","PC,Adobe Acrobat Reader,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Microsoft Excel,Scanner,Net-Print Black and White,CU Library,R,SAS,VideoLAN,Windows Media Player,Google Sketchup,Microsoft OneNote,Google Earth,Asian Reading/Writing,Net-Print Color,Premier AT,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe Extension Manager,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,Miktex,STATA/Intercooled,Jaws",42.445995,-76.483181
999,"2012-05-29 15:35:36.0","2018-08-28 11:51:34.0","Mann Library","Mann Circulation Desk","Mac,PC,iTunes,VideoLAN,Windows Media Player,Adobe Acrobat Reader,Microsoft Access,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,Microsoft Excel,Scanner,Plotter,Net-Print Black and White,Net-Print Color,CU Library,Laptops,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe Extension Manager,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,AutoCAD,Google Sketchup,ArcGIS,Google Earth,R,Endnote,Tropcrop,Miktex,STATA/Intercooled,Premier AT,Stella,Jaws",42.448795,-76.476329
1036,"2016-07-06 14:44:06.0","2016-08-19 10:45:16.0","Mann Library","101 Mann Library","CIT",42.448672,-76.476284
803,"2010-08-10 16:51:12.0","2018-10-01 13:13:53.0","Mann Library - B30A PC Classroom","B30A Mann Library","PC,VideoLAN,Windows Media Player,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe Bridge,Adobe Device Central,Adobe Dreamweaver,Adobe Drive,Adobe ExtendScript Toolkit,Adobe Extension Manager,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Google Sketchup,Microsoft PowerPoint,Microsoft Word,ArcGIS,Google Earth,R,Tropcrop,Microsoft Excel,Net-Print Black and White,Net-Print Color,Adobe Flash Professional,AutoCAD,Microsoft Access,Microsoft InfoPath,Microsoft OneNote,Microsoft Publisher,CU Library,STATA/Intercooled,Endnote,iTunes,Adobe Media Encoder,Adobe Media Player,Adobe Premier Pro,Stella,Miktex,Premier AT,Jaws",42.44872,-76.476039
801,"2010-08-09 16:22:47.0","2018-10-01 13:14:09.0","Mann Library - B30B PC Classroom","B30B Mann Library","PC,Google Sketchup,Microsoft PowerPoint,Microsoft Word,Microsoft Excel,Net-Print Black and White,Net-Print Color,VideoLAN,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe Bridge,Adobe Device Central,Adobe Dreamweaver,Adobe Drive,Adobe ExtendScript Toolkit,Adobe Extension Manager,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe LifeCycle Designer,Adobe Media Encoder,Adobe Photoshop,Adobe Pixel Bender Toolkit,AutoCAD,ArcGIS,Google Earth,R,Tropcrop,Windows Media Player,Microsoft Access,Microsoft InfoPath,Microsoft OneNote,Microsoft Publisher,Endnote,CU Library,STATA/Intercooled,Adobe Media Player,Stella,Miktex,Premier AT,Adobe Premier Pro,Adobe Acrobat Reader,Jaws",42.448822,-76.476055
804,"2010-08-10 17:03:19.0","2018-10-01 13:13:29.0","Mann Library - Stone Classroom","103 Mann Library","PC,VideoLAN,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe Bridge,Adobe Dreamweaver,Adobe Drive,Adobe ExtendScript Toolkit,Adobe Extension Manager,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Google Sketchup,Microsoft PowerPoint,Microsoft Word,ArcGIS,Google Earth,R,Endnote,Tropcrop,Microsoft Excel,Adobe Flash Professional,Microsoft Access,Microsoft OneNote,Microsoft Publisher,Scanner,Net-Print Black and White,Net-Print Color,CU Library,Windows Media Player,AutoCAD,Microsoft InfoPath,STATA/Intercooled,Adobe Media Encoder,Adobe Media Player,Adobe Premier Pro,Adobe Acrobat Reader,Stella,Miktex,Premier AT,Jaws",42.448915,-76.476471
805,"2010-10-11 15:21:29.0","2018-10-01 13:12:27.0","Mann Library Research","Mann Library Open Space","PC,iTunes,VideoLAN,Windows Media Player,Adobe Acrobat Professional,Adobe Bridge,Adobe Device Central,Adobe Dreamweaver,Adobe Extension Manager,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,AutoCAD,Google Sketchup,Microsoft Access,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,ArcGIS,Google Earth,R,Endnote,Tropcrop,Microsoft Excel,Scanner,Net-Print Black and White,Net-Print Color,CU Library,Mac,iMovie,Plotter,Adobe Acrobat Distiller,Microsoft InfoPath,Laptops,STATA/Intercooled,Adobe Media Encoder,Adobe Media Player,Adobe Premier Pro,Stella,Miktex,Premier AT,Jaws",42.448858,-76.476318
761,"2010-05-11 18:04:27.0","2018-08-28 11:43:20.0","Math Library","Math Library","PC,Adobe Acrobat Reader,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Microsoft Excel,Scanner,Net-Print Black and White,Net-Print Color,Windows Media Player,Notetab Light,Asian Reading/Writing,CU Library,Laptops,VideoLAN,Google Sketchup,Microsoft OneNote,Google Earth,R,Microsoft Publisher,Premier AT,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe Extension Manager,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,Miktex,STATA/Intercooled,Jaws",42.448341,-76.48004
1005,"2016-06-30 08:41:27.0","2016-08-19 10:38:55.0","McFaddin Hall",,"Adobe Acrobat Professional,Adobe Bridge,Adobe Dreamweaver,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Minitab,Microsoft Excel,CIT,PC",42.44703,-76.488518
753,"2010-05-11 15:57:43.0","2018-08-28 11:38:27.0","Music Library","Music Library","PC,Adobe Acrobat Reader,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Microsoft Excel,Scanner,Net-Print Black and White,Net-Print Color,CU Library,Windows Media Player,Asian Reading/Writing,Laptops,Sibelius,VideoLAN,Google Sketchup,Google Earth,R,Microsoft InfoPath,Microsoft OneNote,Microsoft Publisher,Premier AT,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,Adobe Extension Manager,Miktex,STATA/Intercooled,Jaws",42.449977,-76.483563
1041,"2016-07-06 14:54:32.0","2016-08-19 10:37:27.0","OADI","200 CCC","CIT",42.449259,-76.479173
752,"2010-05-11 14:55:34.0","2018-08-28 11:27:05.0","Olin Library","Olin Library","PC,Adobe Acrobat Reader,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Scanner,Plotter,Net-Print Black and White,Net-Print Color,CU Library,Windows Media Player,Notetab Light,Asian Reading/Writing,Microsoft Excel,Laptops,Photoshop Elements,VideoLAN,Google Sketchup,Google Earth,R,Adobe Acrobat Professional,Microsoft InfoPath,Microsoft OneNote,Microsoft Publisher,Premier AT,Jaws,Mac,Adobe Acrobat Distiller,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,Miktex,STATA/Intercooled",42.447781,-76.484671
746,"2010-05-03 13:40:19.0","2017-09-01 08:32:21.0","Phillips Hall CIT Lab","318 Phillips Hall","PC,Audacity,Windows Media Player,Adobe Acrobat Professional,Microsoft Access,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,ANSYS,CES EduPack,Comsol,Matlab,National Instruments LabView,Solidworks,Minitab,R,Microsoft Excel,Scanner,Net-Print Black and White,Net-Print Color,CIT,Stella,Logism,Premier AT,Adobe AfterEffects,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,AutoCAD",42.444443,-76.482238
1008,"2016-06-30 08:59:22.0","2016-08-19 10:38:26.0","Rose House",,"PC,Adobe Acrobat Professional,Adobe Bridge,Adobe Dreamweaver,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Minitab,Microsoft Excel,Net-Print Black and White,CIT",42.447793,-76.488801
800,"2010-08-09 16:12:24.0","2016-08-19 10:36:46.0","RPCC CIT Lab","Robert Purcell Community Center","PC,Windows Media Player,Adobe Acrobat Professional,Microsoft Access,Microsoft InfoPath,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,Minitab,Microsoft Excel,Miktex,Net-Print Black and White,Net-Print Color,Scanner,CIT,Dr. Java,Adobe Acrobat Distiller,Google Sketchup,Netbeans IDE,Google Earth,Premier AT,AutoCAD,Adobe Device Central,Adobe Dreamweaver,Adobe Acrobat Reader",42.455967,-76.477418
1043,"2017-08-24 14:52:47.0","2017-09-01 08:22:57.0","Upson CIT-Lab",225,"PC,Audacity,Premier AT,Adobe Acrobat Distiller,Adobe AfterEffects,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,AutoCAD,Microsoft Access,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,ANSYS,CES EduPack,Comsol,Matlab,National Instruments LabView,Solidworks,Minitab,R,Stella,Microsoft Excel,Scanner,Net-Print Black and White,Net-Print Color,Logism,CIT",42.444033,-76.482483
795,"2010-07-21 16:40:24.0","2017-09-07 09:59:25.0","Uris Classroom","Uris Library","PC,Microsoft Access,Microsoft InfoPath,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,Minitab,Microsoft Excel,CIT,Audacity,Stella,Scanner,Adobe Acrobat Distiller,Premier AT,WindowEyes,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Adobe Premier Pro,AutoCAD,R",42.44758,-76.485263
1042,"2016-07-06 14:55:39.0","2016-08-19 10:40:39.0","Uris Kiosks","Austen Room","CIT",42.447643,-76.485344
755,"2010-05-11 16:14:20.0","2018-08-28 11:41:39.0","Uris Library","Uris Library","PC,Adobe Acrobat Reader,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Scanner,Net-Print Black and White,Net-Print Color,CU Library,Windows Media Player,Notetab Light,Asian Reading/Writing,Microsoft Excel,Laptops,Microsoft OneNote,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe Encore,Adobe ExtendScript Toolkit,Adobe Extension Manager,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,Microsoft InfoPath,Microsoft Publisher,Dr. Java,VideoLAN,Google Sketchup,R,Premier AT,Mac,Google Earth,Adobe Acrobat Distiller,Adobe Acrobat Professional,Miktex,STATA/Intercooled,Jaws",42.447729,-76.485366
998,"2011-12-14 15:34:17.0","2018-09-07 11:35:09.0","Uris Library Tower Room","Uris Library","PC,Audacity,Microsoft Access,Microsoft InfoPath,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,Minitab,Microsoft Excel,Scanner,Net-Print Black and White,Net-Print Color,CIT,Premier AT,Adobe AfterEffects,Adobe InDesign,AutoCAD,Adobe Bridge,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Photoshop,Adobe Premier Pro,R",42.447713,-76.485424
727,"2010-04-08 15:45:19.0","2017-10-05 09:33:50.0","Uris Library: CL3","Uris Library, Gallery Level","PC,Windows Media Player,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe AfterEffects,Adobe Bridge,Adobe Contribute,Adobe Device Central,Adobe Dreamweaver,Adobe Drive,Adobe Encore,Adobe ExtendScript Toolkit,Adobe Extension Manager,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe LifeCycle Designer,Adobe Media Encoder,Adobe Media Player,Adobe OnLocation,Adobe Photoshop,Adobe Premier Pro,Adobe Soundbooth,Adobe Mocha for After Effects,Adobe Acrobat Reader,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Microsoft Excel,Net-Print Black and White,Net-Print Color,Premier AT,Matlab,R,Microsoft InfoPath,Microsoft OneNote,Microsoft Publisher,WindowEyes,CU Library,Asian Reading/Writing,Stella",42.447587,-76.485218
793,"2010-07-21 16:26:35.0","2018-09-07 11:33:23.0","Willard Straight CIT Lab","Willard Straight Hall","PC,Windows Media Player,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe Media Player,Microsoft Access,Microsoft InfoPath,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,Minitab,Refworks,Microsoft Excel,Miktex,Net-Print Black and White,Net-Print Color,Audacity,CIT,Google Earth,Google Sketchup,Dr. Java,Netbeans IDE,Scanner,Premier AT",42.446652,-76.485659
